,id,title,price,available_quantity,city,state,seller,Brand
6,MLA1370836329,Xiaomi Mi Box S Control De Voz 4k 8gb  2gb De Memoria Ram,46990.0,1,San Justo,Buenos Aires,SANJUSTOCENTROCOMPUTACION,XIAOMI
7,MLA1120848222,Xiaomi Mi Tv Stick Full Hd Chromecast Android Netflix Amazon,30399.0,1,Villa Santa Rita,Capital Federal,SM SPACE,XIAOMI
8,MLA1368609479,Xiaomi Mi Box S Tv 4k Control De Voz 8gb 2gb De Ram !!,62990.0,1,Chacarita,Capital Federal,INTEGRADOS ARGENTINOS,XIAOMI
9,MLA1333515060,Xiaomi Stick 4k 8gb Negro Con 2gb De Memoria Ram,41499.0,1,Rosario,Santa Fe,TECHWAY SRL,XIAOMI
10,MLA1368841989,Convertidor Smart Tv Android Xiaomi Mi Tv Stick Chromecast  ,29500.0,1,Mar del Plata,Buenos Aires,MOVILES ONLINE,XIAOMI
11,MLA1156364072,Xiaomi Mi Tv Stick Full Hd 8gb Android 9.0 Hdmi 2k Pcreg,38099.0,500,Almagro,Capital Federal,PCREGISTRADAOK,XIAOMI
12,MLA849971918,Xiaomi Mi Box S Android Tv Chromecast Incorporado 4k Hdr ,47900.0,1,Palermo,Capital Federal,TENDEX,XIAOMI
13,MLA1220041782,Xiaomi Mi Tv Stick Full Hd Smart Android Netflix Amazon +,47999.0,1,Ituzaingó,Buenos Aires,PRODUCTOSECWEB,XIAOMI
14,MLA1422399660,Onlycast Transmisor De Celular/tv Convertidor A Smart Stream,10330.0,50,Córdoba,Córdoba,ON5731682,XIAOMI
15,MLA1113177605,Mi Tv Box Xiaomi S Eu Con Control Remoto ,49000.0,1,Paternal,Capital Federal,GAMESTATION ARG,XIAOMI
16,MLA1128238985,Xiaomi Tv Stick 4k 2gb Ram 8gb Rom C/control Netflix-android,54336.29,1,Barracas,Capital Federal,IVMACO,XIAOMI
