,title,price,available_quantity,seller,city,state,Brand
120,Amazon Fire Tv Stick Lite Full Hd 8gb 1gb Ram Streaming ,21289.0,1,IWANT..,San Cristobal,Capital Federal,AMAZON
121,Amazon Fire Tv Stick 3ra Gen Full Hd Youtube Netflix Disney,24999.0,1,VIER TECH,San Cristobal,Capital Federal,AMAZON
122,Amazon Fire Tv Stick 4k De Voz 4k 8gb 1.5gb De Memoria Ram,26999.0,1,E-O-N-E,Boulogne,Buenos Aires,AMAZON
123,Amazon Fire Tv Stick Lite Full Hd 8gb 1gb Ram Streaming,21289.0,1,TECNEC S.A,San Cristobal,Capital Federal,AMAZON
124,Amazon Fire Tv Stick 2da Gen Full Hd You Tube Netflix ,23499.0,1,TECNEC.,San Cristóbal,Capital Federal,AMAZON
125,Amazon Fire Tv Stick 4k De Voz 4k 8gb Negro Con 1.5gb De Ram,26500.0,1,ALTAVISTA COMPUTACION,Paraná,Entre Ríos,AMAZON
126,Amazon Fire Tv Stick Lite Full Hd 8gb 1gb De Ram Con Voz,21724.0,200,GAUSS ONLINE,Monte Castro,Capital Federal,AMAZON
127,Amazon Fire Tv Stick Control De Voz Full Hd 8gb Pcreg,21999.0,1,PCREGISTRADAOK,Almagro,Capital Federal,AMAZON
128,"Amazon Fire Tv Stick 4k 8gb Hdr Dolby 1,5gb Ram Control Voz",26499.0,1,NOVAINFORMATICASA,CORDOBA CAPITAL,Córdoba,AMAZON
129,Amazon Fire Tv Stick Lite Full Hd 8gb 1gb Ram Streaming,20999.0,1,CUSA-TECHNOLOGY,Piamonte,Santa Fe,AMAZON
130,Stick Tv Amazon Fire Ultra Hd 4k Control De Voz Alexa Gtia,32999.0,1,PRODUCTOSECWEB,Ituzaingó,Buenos Aires,AMAZON
131,Amazon Fire Tv Stick Lite Full Hd 8gb Alexa Hdtv Dual Band,22499.0,1,BH COMPUTACION,San Nicolás,Capital Federal,AMAZON
